BusinessName,DBAName,Address,City,State,Zip,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Property_ID,Location
BOSTON & MAINE FISH CO.,,200 Faneuil Hall Market,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,3/7/07 11:11,16175902205,,"(42.3594, -71.0587)"
BOSTON BEANSTOCK COFFEE CO.,,97 Salem,Boston,MA,2113,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16177250040,121954,"(42.363853, -71.055523)"
Boston Big Easy,,624 Blue Hill,Dorchester,MA,2121,Active,FT,Eating & Drinking w/ Take Out,1/24/14 13:37,16172825700,156302,"(42.302878, -71.085018)"
Boston Chowda Co.,,300 FANEUIL HALL MARKET,BOSTON,MA,2109,Active,FT,Eating & Drinking w/ Take Out,3/25/07 11:13,16177424441,,"(42.3594, -71.0587)"
Boston Chowda Co.,,800 Boylston,Boston,MA,2199,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16178595904,157244,"(42.347296, -71.081457)"
Boston Common Coffee Co.,,10 High,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,12/14/06 14:50,15083977896,156946,"(42.353511, -71.056728)"
Boston Common Coffee Co.,,10 West,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,9/11/08 10:46,16176959700,155653,"(42.35443, -71.06218)"
Boston Globe Kiosk # 2,,135 William T Morrissey,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,11/3/08 9:14,16179922274,156975,"(42.315997, -71.049211)"
Boston House of Pizza,,940 AMER LEGION ,ROSLINDALE,MA,2131,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:33,16173231010,,"(42.3594, -71.0587)"
Boston Kitchen,,300 Faneuil Hall Market,BOSTON,MA,2110,Active,FT,Eating & Drinking w/ Take Out,3/31/07 11:53,16177238485,,"(42.3594, -71.0587)"
BOSTON MARKET,,1010 William T Morrissey,Dorchester,MA,2122,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,13032789500,156684,"(42.290076, -71.044879)"
BOSTON MARKET,,245 MASSACHUSETTS ,BOSTON,MA,2115,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,13032789500,,"(42.3594, -71.0587)"
BOSTON MARRIOTT/STARBUCKS,,110 HUNTINGTON ,BOSTON,MA,2116,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16172365800,,"(42.3594, -71.0587)"
BOSTON MEDICAL CENTER KIOSK ON BRIDGE,,88 EAST NEWTON,BOSTON,MA,2118,Active,FT,Eating & Drinking w/ Take Out,3/23/07 14:23,10000000000,,"(42.3594, -71.0587)"
Boston News Cafe (90 Arch St.),,90 Arch,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,11/10/11 10:16,16173067954,340648,"(42.354732, -71.058368)"
Boston Opera House,,539 Washington,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,9/30/09 12:49,16172610065,157344,"(42.353999, -71.06237)"
Boston Pretzel Bakery,,200 Faneuil Hall Market,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,4/25/07 15:26,10000000000,,"(42.3594, -71.0587)"
Boston Symphony Orchestra,,301 MASSACHUSETTS ,BOSTON,MA,2115,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16172661492,,"(42.3594, -71.0587)"
BOSTON UNIVERSITY ATHLETIC CTR,,285 BABCOCK,BOSTON,MA,2215,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16173532947,,"(42.3594, -71.0587)"
BOSTON WING IT,,1153 COMMONWEALTH ,ALLSTON,MA,2134,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16177832473,,"(42.3594, -71.0587)"
BOURBON ST. CAFE,,417 Washington,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,10004518032,157146,"(42.35583, -71.0604)"
Bourbon Street Cafe,,350 Longwood,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,3/14/08 11:16,16175665204,156578,"(42.339072, -71.108098)"
Bravo Pizza,,160 BRIGHTON ,BOSTON,MA,2134,Active,FT,Eating & Drinking w/ Take Out,5/19/09 15:00,16177820882,,"(42.3594, -71.0587)"
