Van Siclen Av 3 train icon,Van Siclen Av,"3,124","3,302","(40.678024, -73.891688)"
Van Siclen Av C train icon,Van Siclen Av,"2,763","2,829","(40.678024, -73.891688)"
Van Siclen Av J train icon Z train icon,Van Siclen Av,"2,550","2,615","(40.678024, -73.891688)"
West 8 St-New York Aquarium  F train icon Q train icon,West 8 St-New York Aquarium ,"2,302","2,506","(40.576127, -73.975939)"
Wilson Av L train icon,Wilson Av,"3,357","3,400","(40.688764, -73.904046)"
Winthrop St 2 train icon 5 train icon,Winthrop St,"6,854","7,185","(40.656652, -73.950200)"
York St F train icon ,York St,"6,077","6,621","(40.699743, -73.986885)"
1 Av L train icon,1 Av,"20,006","21,157","(40.730953, -73.981628)"
103 St 1 train icon,103 St,"13,409","12,968","(40.796092, -73.961454)"
103 St 6 train icon,103 St,"14,663","15,210","(40.796092, -73.961454)"
103 St B train icon C train icon,103 St,"4,736","4,782","(40.796092, -73.961454)"
110 St 6 train icon,110 St,"11,425","11,630","(40.795020, -73.944250)"
116 St 2 train icon 3 train icon ,116 St,"10,190","10,227","(40.805085, -73.954882)"
116 St 6 train icon,116 St,"14,899","15,655","(40.805085, -73.954882)"
116 St B train icon C train icon,116 St,"5,745","5,945","(40.805085, -73.954882)"
116 St-Columbia University 1 train icon,116 St-Columbia University,"15,891","15,808","(40.805085, -73.954882)"
125 St 1 train icon,125 St,"7,221","7,243","(40.811109, -73.952343)"
125 St 2 train icon 3 train icon ,125 St,"14,207","13,878","(40.811109, -73.952343)"
125 St  4 train icon 5 train icon 6 train icon,125 St ,"27,704","27,990","(40.811109, -73.952343)"
125 St A train icon B train icon C train icon D train icon,125 St,"24,404","24,584","(40.811109, -73.952343)"
135 St 2 train icon 3 train icon ,135 St,"12,676","13,031","(40.817894, -73.947649)"
135 St B train icon C train icon,135 St,"4,657","4,878","(40.817894, -73.947649)"
137 St-City College 1 train icon,137 St-City College,"14,181","14,158","(40.822008, -73.953676)"
14 St A train icon C train icon E train icon/8 Av  L train icon ,14 St,"35,157","36,777","(40.738228, -73.996209)"
14 St F train icon M train icon 1 train icon 2 train icon 3 train icon/6 Av  L train icon ,14 St,"47,932","47,204","(40.738228, -73.996209)"
14 St-Union Sq L train icon N train icon Q train icon R train icon 4 train icon 5 train icon 6 train icon,14 St-Union Sq,"105,118","106,380","(40.738228, -73.996209)"
145 St 1 train icon,145 St,"9,382","9,417","(40.824783, -73.944216)"
145 St 3 train icon,145 St,"2,848","2,873","(40.824783, -73.944216)"
145 St A train icon B train icon C train icon D train icon,145 St,"20,126","20,730","(40.824783, -73.944216)"
155 St B train icon D train icon,155 St,"3,728","3,823","(40.830518, -73.941514)"
155 St C train icon,155 St,"2,221","2,279","(40.830518, -73.941514)"
157 St 1 train icon,157 St,"9,843","9,899","(40.834041, -73.944890)"
163 St-Amsterdam Av C train icon,163 St-Amsterdam Av,"3,525","3,663","(40.836013, -73.939892)"
168 St A train icon C train icon 1 train icon,168 St,"23,592","23,572","(40.840556, -73.940133)"
175 St A train icon,175 St,"11,834","12,078","(40.847391, -73.939704)"
18 St 1 train icon,18 St,"7,846","7,968","(40.741040, -73.997871)"
181 St 1 train icon,181 St,"10,604","10,803","(40.851695, -73.937969)"
181 St A train icon,181 St,"9,585","9,723","(40.851695, -73.937969)"
190 St A train icon,190 St,"3,891","3,988","(40.859022, -73.934180)"
191 St 1 train icon,191 St,"7,532","7,561","(40.855225, -73.929412)"
2 Av F train icon,2 Av,"17,310","17,090","(40.723402, -73.989938)"
207 St 1 train icon,207 St,"5,746","5,917","(40.864614, -73.918819)"
215 St 1 train icon,215 St,"1,979","1,949","(40.869444, -73.915279)"
23 St 1 train icon,23 St,"14,338","14,379","(40.741303, -73.989344)"
23 St 6 train icon,23 St,"30,908","30,929","(40.741303, -73.989344)"
23 St  C train icon E train icon ,23 St ,"22,061","21,934","(40.741303, -73.989344)"
23 St F train icon M train icon,23 St,"24,407","25,100","(40.741303, -73.989344)"
23 St N train icon R train icon,23 St,"19,065","20,007","(40.741303, -73.989344)"
28 St 1 train icon,28 St,"12,752","13,179","(40.745494, -73.988691)"
28 St 6 train icon,28 St,"22,042","22,274","(40.745494, -73.988691)"
28 St N train icon R train icon,28 St,"9,657","10,003","(40.745494, -73.988691)"
3 Av  L train icon ,3 Av ,"5,815","6,123","(40.732849, -73.986122)"
33 St 6 train icon,33 St,"30,129","30,497","(40.746081, -73.982076)"
34 St-Herald Square  B train icon D train icon F train icon M train icon N train icon Q train icon R train icon ,34 St-Herald Square ,"119,202","120,764","(40.749567, -73.987950)"
34 St-Penn Station 1 train icon 2 train icon 3 train icon ,34 St-Penn Station,"88,520","87,736","(40.749567, -73.987950)"
34 St-Penn Station A train icon C train icon E train icon,34 St-Penn Station,"79,875","80,009","(40.749567, -73.987950)"
42 St-Bryant Pk B train icon D train icon F train icon M train icon/5 Av 7 train icon,42 St-Bryant Pk,"46,431","47,741","(40.754222, -73.984569)"
47-50 Sts-Rockefeller Center B train icon D train icon F train icon M train icon,47-50 Sts-Rockefeller Center,"55,402","56,758","(40.758663, -73.981329)"
49 St N train icon Q train icon R train icon,49 St,"24,487","25,284","(40.759901, -73.984139)"
5 Av-53 St E train icon M train icon,5 Av-53 St,"24,027","23,239","(40.760167, -73.975224)"
5 Av-59 St N train icon Q train icon R train icon,5 Av-59 St,"17,762","18,200","(40.641362, -74.017881)"
50 St 1 train icon,50 St,"24,388","24,636","(40.636260, -73.994791)"
50 St  C train icon E train icon ,50 St ,"17,395","16,936","(40.636260, -73.994791)"
57 St F train icon,57 St,"13,939","14,426","(40.764664, -73.980658)"
57 St-7 Av N train icon Q train icon R train icon,57 St-7 Av,"28,121","27,958","(40.764664, -73.980658)"
59 St-Columbus Circle A train icon B train icon C train icon D train icon 1 train icon,59 St-Columbus Circle,"65,376","66,058","(40.768247, -73.981929)"
66 St-Lincoln Center 1 train icon,66 St-Lincoln Center,"21,496","21,717","(40.773440, -73.982209)"
68 St-Hunter College 6 train icon,68 St-Hunter College,"35,323","34,984","(40.768141, -73.963870)"
7 Av B train icon D train icon E train icon,7 Av,"13,887","14,004","(40.677050, -73.972367)"
72 St 1 train icon 2 train icon 3 train icon,72 St,"36,287","36,900","(40.775594, -73.976410)"
72 St B train icon C train icon,72 St,"8,245","8,435","(40.775594, -73.976410)"
77 St 6 train icon,77 St,"35,288","35,579","(40.629742, -74.025510)"
79 St 1 train icon,79 St,"15,802","15,952","(40.613501, -74.000610)"
8 St-New York University N train icon R train icon,8 St-New York University,"16,303","16,759","(40.730328, -73.992629)"
81 St-Museum of Natural History B train icon C train icon,81 St-Museum of Natural History,"12,370","12,374","(40.781433, -73.972143)"
86 St 1 train icon,86 St,"18,933","18,901","(40.622687, -74.028398)"
86 St  4 train icon 5 train icon 6 train icon,86 St ,"60,254","60,965","(40.622687, -74.028398)"
86 St B train icon C train icon,86 St,"10,469","10,572","(40.622687, -74.028398)"
96 St 1 train icon 2 train icon 3 train icon,96 St,"34,571","35,053","(40.791646, -73.964699)"
