GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US35486,35486,"ZIP 35486 (Tuscaloosa, AL)",00,Total for all sectors,2011,11,69,236,857
8610000US35487,35487,"ZIP 35487 (Tuscaloosa, AL)",00,Total for all sectors,2011,14,f,D,D
8610000US35490,35490,"ZIP 35490 (Vance, AL)",00,Total for all sectors,2011,55,h,D,D
8610000US35501,35501,"ZIP 35501 (Jasper, AL)",00,Total for all sectors,2011,621,8616,67447,292238
8610000US35502,35502,"ZIP 35502 (Jasper, AL)",00,Total for all sectors,2011,35,253,1735,8984
8610000US35503,35503,"ZIP 35503 (Jasper, AL)",00,Total for all sectors,2011,134,1103,6123,29016
8610000US35504,35504,"ZIP 35504 (Jasper, AL)",00,Total for all sectors,2011,147,1336,9654,42702
8610000US35540,35540,"ZIP 35540 (Addison, AL)",00,Total for all sectors,2011,48,g,D,D
8610000US35541,35541,"ZIP 35541 (Arley, AL)",00,Total for all sectors,2011,48,203,1003,4351
8610000US35542,35542,"ZIP 35542 (Bankston, AL)",00,Total for all sectors,2011,7,37,168,729
8610000US35543,35543,"ZIP 35543 (Bear Creek, AL)",00,Total for all sectors,2011,15,117,761,3836
8610000US35544,35544,"ZIP 35544 (Beaverton, AL)",00,Total for all sectors,2011,3,7,61,389
8610000US35545,35545,"ZIP 35545 (Belk, AL)",00,Total for all sectors,2011,10,c,1632,6264
8610000US35546,35546,"ZIP 35546 (Berry, AL)",00,Total for all sectors,2011,47,598,9395,38395
8610000US35548,35548,"ZIP 35548 (Brilliant, AL)",00,Total for all sectors,2011,14,80,612,3456
8610000US35549,35549,"ZIP 35549 (Carbon Hill, AL)",00,Total for all sectors,2011,47,353,1981,9055
